Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Position Size,Stop Loss,Take Profit,Exit Reason,Profit/Loss $,Profit/Loss %,Capital After Trade,Trade Duration
TSLA,2024-11-13,2024-11-14,330.239990234375,323.6351904296875,5.547500297755772,323.6351904296875,343.44958984375,Stop Loss,-36.640128883121186,-2.000000000000001,1184.6975005542517,1
TSLA,2024-11-15,2024-11-18,320.7200012207031,333.5488012695313,5.540802706621658,314.30560119628905,333.5488012695313,Take Profit,71.08185003325511,4.00000000000001,1255.7793505875068,3
TSLA,2024-11-19,2024-11-20,346.0,339.08,5.444130132604786,339.08,359.84000000000003,Stop Loss,-37.673380517625205,-2.0000000000000044,1218.1059700698816,1
TSLA,2024-11-22,2024-11-25,352.55999755859375,345.50879760742185,5.1825475600111215,345.50879760742185,366.66239746093754,Stop Loss,-36.543179102096445,-2.0000000000000058,1181.562790967785,3
TSLA,2024-11-29,2024-12-02,345.1600036621094,358.9664038085938,5.134848092615883,338.2568035888672,358.9664038085938,Take Profit,70.8937674580671,4.000000000000009,1252.456558425852,3
TSLA,2024-12-04,2024-12-05,357.92999267578125,372.2471923828125,5.248749409330782,350.7713928222656,372.2471923828125,Take Profit,75.14739350555112,4.0,1327.6039519314031,1
TSLA,2024-12-06,2024-12-09,389.2200012207031,381.43560119628904,5.116401833542705,381.43560119628904,404.7888012695313,Stop Loss,-39.82811855794209,-2.0000000000000053,1287.775833373461,3
TSLA,2024-12-10,2024-12-11,400.989990234375,417.02958984375,4.8172368316005745,392.9701904296875,417.02958984375,Take Profit,77.26655000240739,3.9999999999999973,1365.0423833758684,1
TSLA,2024-12-13,2024-12-16,436.2300109863281,453.67921142578126,4.693770541907918,427.5054107666015,453.67921142578126,Take Profit,81.90254300255184,4.000000000000003,1446.9449263784202,3
TSLA,2024-12-17,2024-12-18,479.8599853515625,470.2627856445312,4.523022247786505,470.2627856445312,499.054384765625,Stop Loss,-43.408347791352604,-2.000000000000006,1403.5365785870677,1
TSLA,2024-12-24,2024-12-26,462.2799987792969,453.0343988037109,4.554176848316815,453.0343988037109,480.77119873046877,Stop Loss,-42.10609735761203,-2.000000000000002,1361.4304812294556,2
NVDA,2024-05-06,2024-05-07,92.11820220947266,90.2758381652832,22.168753545585236,90.2758381652832,95.80293029785156,Stop Loss,-40.84291443688367,-1.9999999999999987,1320.587566792572,1
NVDA,2024-05-10,2024-05-15,89.85672760009766,93.45099670410157,22.044886377396953,88.0595930480957,93.45099670410157,Take Profit,79.23525400755463,4.000000000000008,1399.8228208001267,5
NVDA,2024-05-20,2024-05-23,94.75758361816406,98.54788696289063,22.159009875782544,92.86243194580078,98.54788696289063,Take Profit,83.9893692480076,4.000000000000005,1483.8121900481342,3
NVDA,2024-05-24,2024-05-28,106.44381713867188,110.70156982421875,20.909793963632477,104.31494079589844,110.70156982421875,Take Profit,89.02873140288804,4.000000000000001,1572.8409214510223,4
